State and County,1989,1979,1969,1959
"Stanton County, KS","11,025","10,258","7,695","7,801"
"Stevens County, KS","11,584","12,035","10,417","7,699"
"Sumner County, KS","11,944","12,087","7,912","6,341"
"Thomas County, KS","10,551","11,331","8,227","7,475"
"Trego County, KS","10,464","10,845","7,364","5,564"
"Wabaunsee County, KS","11,280","10,692","7,877","5,089"
"Wallace County, KS","9,366","8,970","7,424","5,388"
"Washington County, KS","9,595","9,491","7,217","4,599"
"Wichita County, KS","10,196","10,012","7,811","6,541"
"Wilson County, KS","9,734","9,528","7,383","5,835"
"Woodson County, KS","10,424","9,318","6,943","4,764"
"Wyandotte County, KS","10,656","10,798","8,932","6,898"
,,,,
Kentucky,"$11,153.00","$10,009.00","$7,632.00","$5,188.00"
"Adair County, KY","8,596","7,510","5,640","3,253"
"Allen County, KY","8,361","8,348","5,624","3,477"
"Anderson County, KY","12,320","10,250","7,953","4,921"
"Ballard County, KY","10,262","9,716","7,783","4,222"
"Barren County, KY","9,876","9,216","6,622","4,234"
"Bath County, KY","8,034","7,220","5,205","3,167"
"Bell County, KY","7,037","7,663","4,743","3,116"
"Boone County, KY","13,576","12,065","8,992","6,600"
"Bourbon County, KY","10,858","9,541","7,928","5,246"
"Boyd County, KY","12,012","11,684","8,715","6,086"
"Boyle County, KY","11,029","10,431","8,435","4,897"
"Bracken County, KY","9,297","8,402","5,907","4,230"
"Breathitt County, KY","6,905","7,167","3,522","2,076"
"Breckinridge County, KY","9,157","8,142","6,206","3,696"
"Bullitt County, KY","10,907","9,513","6,996","4,952"
"Butler County, KY","8,108","7,616","4,947","3,014"
"Caldwell County, KY","9,658","9,794","6,908","4,579"
"Calloway County, KY","10,434","9,861","7,431","4,893"
"Campbell County, KY","12,603","10,999","8,774","7,083"
"Carlisle County, KY","9,735","9,367","6,197","4,458"
"Carroll County, KY","10,202","9,496","7,273","4,681"
"Carter County, KY","7,996","7,462","5,479","3,320"
"Casey County, KY","7,719","6,326","5,454","2,331"
"Christian County, KY","9,708","8,781","6,908","5,058"
"Clark County, KY","11,655","10,867","8,079","5,788"
"Clay County, KY","6,084","5,833","3,226","2,150"
"Clinton County, KY","6,838","5,580","4,510","2,370"
"Crittenden County, KY","9,807","9,163","6,310","3,897"
"Cumberland County, KY","6,858","6,999","5,045","2,833"
"Daviess County, KY","11,456","10,964","8,409","5,976"
"Edmonson County, KY","7,181","6,954","5,391","2,990"
"Elliott County, KY","6,823","6,545","4,170","2,558"
"Estill County, KY","7,474","7,440","5,517","3,555"
"Fayette County, KY","14,962","12,392","9,917","7,103"
"Fleming County, KY","8,950","7,911","6,156","4,175"
"Floyd County, KY","7,922","8,348","5,139","3,155"
"Franklin County, KY","13,383","12,248","9,347","6,773"
"Fulton County, KY","9,820","9,107","5,923","4,430"
"Gallatin County, KY","9,717","9,268","5,803","4,458"
"Garrard County, KY","10,011","8,320","6,735","4,395"
"Grant County, KY","10,356","9,464","7,062","4,854"
"Graves County, KY","10,784","10,134","7,286","5,003"
"Grayson County, KY","8,767","7,797","5,731","3,469"
"Green County, KY","9,177","7,768","6,823","4,634"
"Greenup County, KY","11,165","10,766","7,037","4,642"
"Hancock County, KY","10,891","9,432","7,837","3,587"
"Hardin County, KY","10,624","9,129","8,101","5,996"
"Harlan County, KY","7,502","8,298","5,014","3,673"
"Harrison County, KY","10,271","8,997","7,157","5,333"
"Hart County, KY","8,142","7,344","5,571","3,696"
"Henderson County, KY","12,042","11,683","7,651","5,246"
"Henry County, KY","10,344","8,997","7,550","4,273"
"Hickman County, KY","9,777","10,029","6,505","4,077"
"Hopkins County, KY","10,751","10,996","7,339","5,180"
"Jackson County, KY","7,097","5,965","3,726","2,492"
"Jefferson County, KY","14,067","12,273","9,951","7,373"
"Jessamine County, KY","11,733","9,687","7,405","4,744"
"Johnson County, KY","8,492","8,739","5,083","3,198"
"Kenton County, KY","13,587","11,507","9,017","6,957"
"Knott County, KY","6,753","7,264","3,654","2,143"
"Knox County, KY","7,776","6,683","4,362","2,402"
"Larue County, KY","10,129","8,534","6,619","4,069"
"Laurel County, KY","8,879","8,055","5,272","3,124"
"Lawrence County, KY","7,809","7,681","5,051","2,947"
"Lee County, KY","6,869","6,709","4,035","2,994"
"Leslie County, KY","7,190","6,795","3,327","1,911"
"Letcher County, KY","7,340","7,618","4,708","3,261"
"Lewis County, KY","7,477","6,726","5,391","3,355"
"Lincoln County, KY","8,388","7,425","5,709","3,846"
"Livingston County, KY","10,123","9,623","6,411","4,246"
"Logan County, KY","9,907","8,908","6,855","4,411"
"Lyon County, KY","10,081","9,762","6,855","3,696"
"McCracken County, KY","12,460","11,614","8,727","6,353"
"McCreary County, KY","5,153","5,406","3,575","2,025"
"McLean County, KY","9,599","9,461","6,659","4,105"
"Madison County, KY","10,029","8,569","7,040","4,654"
"Magoffin County, KY","6,289","6,730","3,984","1,785"
"Marion County, KY","9,121","7,619","5,656","3,461"
"Marshall County, KY","11,374","10,647","7,443","5,038"
"Martin County, KY","8,190","8,816","3,550","2,288"
"Mason County, KY","9,888","9,199","7,575","5,195"
"Meade County, KY","9,234","8,330","7,154","4,807"
"Menifee County, KY","6,911","6,197","4,850","2,272"
"Mercer County, KY","10,821","9,638","7,931","4,791"
"Metcalfe County, KY","7,542","6,927","5,064","3,033"
"Monroe County, KY","8,347","7,110","5,089","2,959"
"Montgomery County, KY","9,636","8,633","6,886","4,313"
"Morgan County, KY","6,871","6,662","4,214","2,590"
"Muhlenberg County, KY","9,779","10,145","6,801","4,313"
"Nelson County, KY","10,165","8,985","6,332","4,242"
"Nicholas County, KY","9,116","8,378","6,442","3,822"
"Ohio County, KY","8,056","9,456","6,379","3,481"
"Oldham County, KY","15,510","12,058","7,594","5,133"
"Owen County, KY","9,559","7,939","6,590","4,513"
"Owsley County, KY","5,791","4,937","3,081","1,860"
"Pendleton County, KY","9,525","8,633","6,348","4,650"
"Perry County, KY","7,914","8,239","4,705","3,316"
"Pike County, KY","8,674","9,111","5,335","3,210"
"Powell County, KY","7,474","7,068","5,438","3,029"
"Pulaski County, KY","9,209","8,486","6,150","3,469"
"Robertson County, KY","8,630","7,360","5,312","3,253"
"Rockcastle County, KY","7,630","6,517","4,828","2,602"
"Rowan County, KY","7,639","7,646","5,571","3,704"
"Russell County, KY","8,967","7,289","5,146","2,747"
"Scott County, KY","12,314","9,972","7,556","5,160"
"Shelby County, KY","13,064","10,609","7,833","5,419"
"Simpson County, KY","10,635","9,717","7,037","4,348"
"Spencer County, KY","10,502","8,886","6,002","4,065"
"Taylor County, KY","9,848","9,142","6,823","4,995"
"Todd County, KY","9,227","8,370","6,112","3,426"
"Trigg County, KY","10,124","9,323","6,118","3,406"
"Trimble County, KY","10,128","8,898","6,524","4,721"
"Union County, KY","11,080","9,910","6,663","4,450"
"Warren County, KY","11,819","10,158","7,641","5,042"
"Washington County, KY","9,559","8,419","5,759","3,677"
"Wayne County, KY","6,550","6,150","4,032","2,523"
"Webster County, KY","10,263","10,047","6,512","4,517"
"Whitley County, KY","8,028","7,830","4,960","3,198"
"Wolfe County, KY","5,998","6,322","3,408","1,707"
"Woodford County, KY","14,151","11,505","8,872","6,082"
,,,,
Louisiana,"$10,635.00","$10,766.00","$7,333.00","$5,372.00"
"Acadia Parish, LA","7,952","9,389","5,640","4,246"
"Allen Parish, LA","7,394","8,652","5,693","4,018"
"Ascension Parish, LA","10,482","10,575","6,600","4,387"
"Assumption Parish, LA","8,077","8,662","5,089","3,375"
"Avoyelles Parish, LA","6,874","7,505","4,664","3,190"
"Beauregard Parish, LA","10,096","9,922","6,965","4,136"
"Bienville Parish, LA","8,194","8,350","5,205","3,963"
"Bossier Parish, LA","11,317","10,751","7,188","5,368"
"Caddo Parish, LA","11,604","12,075","8,208","6,647"
"Calcasieu Parish, LA","11,233","11,943","7,767","6,039"
"Caldwell Parish, LA","8,308","9,057","5,567","3,328"
"Cameron Parish, LA","10,289","12,008","6,801","5,376"
"Catahoula Parish, LA","7,862","8,085","4,884","3,112"
"Claiborne Parish, LA","8,076","8,655","5,552","4,195"
"Concordia Parish, LA","8,391","8,891","5,951","3,912"
"De Soto Parish, LA","8,330","9,365","5,593","3,473"
"East Baton Rouge Parish, LA","13,126","12,527","8,935","6,777"
"East Carroll Parish, LA","6,059","6,721","4,066","3,084"
"East Feliciana Parish, LA","7,746","7,500","4,362","2,437"
"Evangeline Parish, LA","7,041","8,067","4,787","3,025"
"Franklin Parish, LA","7,607","7,209","4,579","2,943"
"Grant Parish, LA","8,330","8,487","5,464","3,406"
"Iberia Parish, LA","9,466","10,845","6,304","5,152"
"Iberville Parish, LA","9,449","9,181","5,649","3,877"
"Jackson Parish, LA","9,960","8,395","6,694","4,697"
"Jefferson Parish, LA","12,845","12,899","9,523","6,957"
"Jefferson Davis Parish, LA","8,486","9,689","5,964","4,701"
"Lafayette Parish, LA","11,983","13,121","7,723","5,592"
"Lafourche Parish, LA","9,250","10,878","6,807","5,011"
"La Salle Parish, LA","9,015","9,427","6,084","4,438"
"Lincoln Parish, LA","9,342","8,977","6,634","4,568"
"Livingston Parish, LA","9,946","9,972","6,656","4,387"
"Madison Parish, LA","6,723","7,599","4,784","3,324"
"Morehouse Parish, LA","8,547","8,100","5,533","4,089"
"Natchitoches Parish, LA","8,112","8,397","5,205","3,335"
"Orleans Parish, LA","11,372","10,830","8,513","6,824"
"Ouachita Parish, LA","10,593","10,336","7,295","5,458"
"Plaquemines Parish, LA","9,500","9,824","7,358","5,266"
"Pointe Coupee Parish, LA","8,709","8,769","4,825","3,167"
"Rapides Parish, LA","10,014","9,927","6,637","4,630"
"Red River Parish, LA","7,213","7,358","4,869","2,982"
"Richland Parish, LA","7,791","7,978","5,058","3,273"
"Sabine Parish, LA","8,539","8,539","5,193","3,959"
"St. Bernard Parish, LA","10,512","10,909","8,265","6,059"
"St. Charles Parish, LA","11,901","11,690","7,279","5,046"
"St. Helena Parish, LA","7,199","7,242","4,183","2,814"
"St. James Parish, LA","8,959","9,597","5,564","3,516"
"St. John the Baptist Parish, LA","10,454","10,677","5,926","3,893"
"St. Landry Parish, LA","7,671","7,949","4,872","3,182"
"St. Martin Parish, LA","7,990","8,770","4,696","3,065"
"St. Mary Parish, LA","8,777","11,376","6,820","5,227"
"St. Tammany Parish, LA","13,605","12,382","8,104","4,791"
"Tangipahoa Parish, LA","8,150","8,807","5,372","3,720"
"Tensas Parish, LA","7,896","7,747","3,925","2,574"
"Terrebonne Parish, LA","9,505","11,244","6,870","5,113"
"Union Parish, LA","8,903","8,382","5,775","3,783"
"Vermilion Parish, LA","8,752","10,232","6,216","4,595"
"Vernon Parish, LA","8,414","8,124","7,619","3,685"
"Washington Parish, LA","8,292","8,534","6,304","4,477"
"Webster Parish, LA","9,191","9,633","6,927","4,999"
"West Baton Rouge Parish, LA","10,255","9,974","5,838","4,226"
"West Carroll Parish, LA","7,611","7,219","5,231","3,033"
"West Feliciana Parish, LA","6,796","6,575","3,216","2,704"
"Winn Parish, LA","8,728","7,887","6,361","3,814"
,,,,
Maine,"$12,957.00","$9,665.00","$8,019.00","$5,941.00"
"Androscoggin County, ME","12,397","9,436","8,044","6,224"
"Aroostook County, ME","10,449","8,058","6,461","4,599"
"Cumberland County, ME","15,816","11,217","9,253","6,946"
"Franklin County, ME","10,830","9,419","7,371","5,199"
"Hancock County, ME","12,347","9,067","7,899","5,474"
"Kennebec County, ME","12,885","9,997","8,453","6,173"
"Knox County, ME","12,949","9,483","8,000","5,702"
"Lincoln County, ME","13,479","9,384","8,091","5,333"
"Oxford County, ME","11,373","9,320","7,512","6,035"
"Penobscot County, ME","12,231","9,372","7,736","5,980"
"Piscataquis County, ME","9,919","8,362","7,512","5,286"
"Sagadahoc County, ME","13,668","9,927","8,000","6,479"
"Somerset County, ME","10,471","8,114","7,449","5,490"
"Waldo County, ME","11,047","7,857","7,519","4,725"
"Washington County, ME","9,607","7,676","6,512","4,740"
"York County, ME","14,131","10,406","8,277","6,302"
,,,,
Maryland,"$17,730.00","$13,896.00","$11,053.00","$7,860.00"
"Allegany County, MD","11,393","10,136","8,022","6,349"
"Anne Arundel County, MD","18,509","14,079","10,540","7,267"
"Baltimore County, MD","18,658","15,155","12,252","8,837"
"Calvert County, MD","17,521","12,323","7,767","4,882"
"Caroline County, MD","11,926","9,964","7,346","5,035"
"Carroll County, MD","16,320","12,539","9,117","6,016"
"Cecil County, MD","14,314","11,056","8,554","6,247"
"Charles County, MD","16,555","12,501","8,516","5,666"
"Dorchester County, MD","12,437","10,389","8,038","5,027"
"Frederick County, MD","16,571","12,532","9,083","6,267"
"Garrett County, MD","10,124","8,734","5,879","4,152"
"Harford County, MD","16,612","12,782","10,137","7,130"
"Howard County, MD","22,704","16,866","12,019","7,781"
"Kent County, MD","15,488","10,895","8,416","5,388"
"Montgomery County, MD","25,591","20,669","16,312","11,572"
"Prince George's County, MD","17,391","14,438","11,736","8,441"
"Queen Anne's County, MD","17,489","11,775","8,318","5,443"
"St. Mary's County, MD","14,454","11,061","7,896","5,360"
"Somerset County, MD","10,232","8,854","6,090","4,509"
"Talbot County, MD","18,755","13,769","9,860","6,742"
"Washington County, MD","12,970","11,336","8,784","6,549"
"Wicomico County, MD","13,425","11,167","9,083","6,365"
"Worcester County, MD","14,341","11,002","7,745","5,058"
,,,,
INDEPENDENT CITY:,,,,
"Baltimore city, MD","$11,994.00","$9,848.00","$9,051.00","$7,326.00"
,,,,
Massachusetts,"$17,224.00","$12,497.00","$10,726.00","$8,044.00"
"Barnstable County, MA","16,402","12,447","10,553","7,436"
"Berkshire County, MA","14,857","11,465","10,043","7,664"
"Bristol County, MA","13,853","10,471","9,240","6,761"
"Dukes County, MA","18,280","12,269","10,188","6,502"
"Essex County, MA","17,586","12,857","10,795","8,029"
"Franklin County, MA","13,944","11,138","9,662","6,804"
"Hampden County, MA","14,029","11,279","10,002","7,770"
"Hampshire County, MA","14,414","10,743","9,467","6,883"
"Middlesex County, MA","20,343","14,141","11,764","8,861"
"Nantucket County, MA","20,591","16,735","9,580","7,577"
"Norfolk County, MA","21,091","14,793","12,677","9,794"
"Plymouth County, MA","16,523","11,693","10,121","7,526"
"Suffolk County, MA","15,414","10,987","9,766","7,475"
"Worcester County, MA","15,500","11,576","10,036","7,381"
,,,,
Michigan,"$14,154.00","$12,883.00","$10,565.00","$7,613.00"
"Alcona County, MI","9,466","8,564","6,836","5,184"
"Alger County, MI","9,669","9,166","7,163","5,199"
"Allegan County, MI","12,498","11,301","8,337","6,212"
"Alpena County, MI","10,930","9,865","8,032","5,988"
"Antrim County, MI","10,856","9,860","7,748","4,846"
"Arenac County, MI","9,730","9,211","7,764","5,144"
"Baraga County, MI","9,021","8,690","8,183","4,893"
"Barry County, MI","12,417","11,671","8,966","6,655"
"Bay County, MI","12,597","12,035","9,593","6,761"
"Benzie County, MI","10,415","9,437","7,711","5,294"
"Berrien County, MI","12,636","11,266","9,539","7,487"
"Branch County, MI","11,033","10,806","8,331","6,361"
"Calhoun County, MI","12,729","12,083","10,414","7,656"
"Cass County, MI","12,167","10,860","9,184","6,137"
"Charlevoix County, MI","11,632","10,062","8,003","5,321"
"Cheboygan County, MI","9,568","9,131","7,663","4,987"
"Chippewa County, MI","9,468","8,956","6,977","5,702"
"Clare County, MI","9,152","8,878","7,449","4,972"
"Clinton County, MI","14,153","12,336","9,501","6,082"
"Crawford County, MI","9,610","9,419","7,890","5,180"
"Delta County, MI","10,810","9,876","7,956","5,596"
"Dickinson County, MI","12,338","10,485","7,909","5,839"
"Eaton County, MI","14,896","13,533","10,486","6,855"
"Emmet County, MI","12,606","10,706","8,507","5,325"
"Genesee County, MI","13,583","13,323","10,395","7,511"
"Gladwin County, MI","9,482","9,215","7,708","4,772"
"Gogebic County, MI","9,481","8,687","7,018","5,282"
"Grand Traverse County, MI","13,289","11,612","8,979","6,094"
"Gratiot County, MI","10,673","10,124","8,337","6,180"
"Hillsdale County, MI","11,198","10,257","8,340","6,141"
"Houghton County, MI","9,012","8,328","6,622","5,313"
"Huron County, MI","10,089","9,640","7,475","4,874"
"Ingham County, MI","13,740","12,583","10,719","7,954"
"Ionia County, MI","10,896","10,222","8,255","5,572"
"Iosco County, MI","9,556","8,993","7,223","5,988"
"Iron County, MI","9,077","9,360","7,471","5,753"
"Isabella County, MI","9,961","9,369","7,629","5,596"
"Jackson County, MI","12,556","11,735","10,065","7,640"
"Kalamazoo County, MI","14,548","13,018","10,559","7,856"
"Kalkaska County, MI","9,502","9,344","6,738","4,948"
"Kent County, MI","14,378","12,604","10,272","7,817"
"Keweenaw County, MI","8,620","8,013","5,939","4,956"
"Lake County, MI","8,195","7,775","6,505","4,293"
"Lapeer County, MI","13,313","11,879","8,513","5,674"
"Leelanau County, MI","13,307","11,420","8,145","5,062"
"Lenawee County, MI","12,654","11,658","9,275","6,443"
"Livingston County, MI","17,327","13,947","10,449","6,702"
"Luce County, MI","9,264","8,883","7,283","4,481"
"Mackinac County, MI","9,751","8,838","7,110","5,301"
"Macomb County, MI","16,187","14,503","11,317","7,668"
"Manistee County, MI","10,118","10,359","8,233","5,965"
"Marquette County, MI","11,025","10,367","7,934","5,776"
"Mason County, MI","10,848","10,376","8,343","5,808"
"Mecosta County, MI","9,271","8,764","7,815","5,058"
"Menominee County, MI","10,336","9,359","7,264","5,042"
"Midland County, MI","15,615","13,493","10,889","7,617"
"Missaukee County, MI","9,139","8,631","6,477","4,509"
"Monroe County, MI","13,893","12,326","10,096","6,592"
"Montcalm County, MI","10,081","9,895","8,186","5,698"
"Montmorency County, MI","9,307","8,107","6,647","4,623"
"Muskegon County, MI","11,345","10,654","9,042","6,953"
"Newaygo County, MI","10,307","9,545","7,984","5,490"
"Oakland County, MI","21,125","17,858","14,150","9,673"
"Oceana County, MI","9,582","9,429","7,563","5,411"
"Ogemaw County, MI","8,991","8,380","7,081","4,776"
"Ontonagon County, MI","10,939","9,382","7,371","5,250"
"Osceola County, MI","9,258","8,801","7,572","5,160"
"Oscoda County, MI","8,719","8,561","7,770","5,286"
"Otsego County, MI","11,366","9,942","8,793","5,192"
"Ottawa County, MI","14,347","12,062","9,448","6,851"
"Presque Isle County, MI","9,654","9,253","7,358","5,851"
"Roscommon County, MI","9,709","9,067","8,076","5,902"
"St. Clair County, MI","12,355","12,170","9,851","7,004"
"St. Joseph County, MI","13,257","11,864","9,501","6,467"
"Saginaw County, MI","12,039","10,847","9,473","7,071"
"Sanilac County, MI","10,330","9,940","7,893","5,352"
"Schoolcraft County, MI","9,740","8,853","7,157","4,936"
"Shiawassee County, MI","12,244","11,643","9,505","6,765"
"Tuscola County, MI","11,543","10,892","8,381","5,564"
"Van Buren County, MI","11,233","10,235","8,438","6,169"
"Washtenaw County, MI","17,115","14,583","11,837","8,339"
"Wayne County, MI","13,016","12,749","10,968","8,217"
"Wexford County, MI","10,952","9,843","7,673","5,768"
,,,,
Minnesota,"$14,389.00","$12,485.00","$9,561.00","$6,804.00"
"Aitkin County, MN","9,281","7,998","6,590","3,955"
"Anoka County, MN","14,554","12,795","9,596","6,769"
"Becker County, MN","9,889","9,156","6,663","4,450"
"Beltrami County, MN","8,938","8,648","6,902","4,587"
"Benton County, MN","11,018","9,612","7,292","4,548"
"Big Stone County, MN","9,575","9,199","7,154","3,948"
"Blue Earth County, MN","11,125","11,073","9,089","6,133"
"Brown County, MN","11,244","10,555","7,909","5,635"
"Carlton County, MN","10,878","10,074","7,909","6,200"
"Carver County, MN","16,116","12,923","9,470","5,988"
"Cass County, MN","8,991","8,050","6,464","4,026"
"Chippewa County, MN","11,067","10,121","7,327","4,756"
"Chisago County, MN","12,526","10,902","8,271","5,906"
"Clay County, MN","10,836","10,914","8,623","6,161"
"Clearwater County, MN","8,359","7,435","6,071","3,865"
"Cook County, MN","12,067","11,299","9,026","5,937"
"Cottonwood County, MN","10,335","10,805","8,409","5,172"
"Crow Wing County, MN","10,911","9,437","7,500","5,729"
"Dakota County, MN","17,237","14,374","10,719","7,479"
"Dodge County, MN","11,932","10,579","7,468","4,874"
"Douglas County, MN","10,264","9,444","7,154","4,575"
"Faribault County, MN","11,276","10,865","8,063","5,086"
"Fillmore County, MN","10,146","9,476","7,138","4,897"
"Freeborn County, MN","11,452","11,318","8,331","5,953"
"Goodhue County, MN","12,892","11,460","8,479","5,870"
"Grant County, MN","9,622","9,431","6,968","4,564"
"Hennepin County, MN","18,496","15,756","12,088","9,123"
"Houston County, MN","11,587","9,962","8,167","4,936"
"Hubbard County, MN","9,527","8,660","6,348","4,179"
"Isanti County, MN","11,909","10,203","7,903","4,725"
"Itasca County, MN","10,541","10,302","7,349","5,227"
"Jackson County, MN","11,287","10,242","7,663","4,685"
"Kanabec County, MN","9,887","9,459","7,676","4,493"
"Kandiyohi County, MN","11,574","10,741","7,991","5,215"
"Kittson County, MN","11,050","9,826","7,324","5,058"
"Koochiching County, MN","11,732","10,158","8,120","6,000"
"Lac qui Parle County, MN","10,368","9,597","6,760","3,983"
"Lake County, MN","11,415","13,238","8,082","6,537"
"Lake of the Woods County, MN","10,623","8,672","6,597","4,301"
"Le Sueur County, MN","11,792","10,736","8,271","5,474"
"Lincoln County, MN","9,616","7,996","5,586","3,732"
"Lyon County, MN","11,121","10,243","7,613","4,999"
"McLeod County, MN","12,689","10,967","8,664","5,521"
"Mahnomen County, MN","7,737","6,998","5,835","3,657"
"Marshall County, MN","9,675","8,755","6,203","4,728"
"Martin County, MN","11,387","11,576","8,661","5,345"
"Meeker County, MN","10,843","9,923","7,207","4,171"
"Mille Lacs County, MN","10,167","9,211","7,028","4,599"
"Morrison County, MN","9,666","8,038","6,637","4,018"
"Mower County, MN","11,599","11,775","9,061","7,318"
"Murray County, MN","10,871","9,422","7,336","4,313"
"Nicollet County, MN","12,358","10,870","8,167","5,466"
"Nobles County, MN","10,860","10,580","7,755","4,697"
"Norman County, MN","9,948","9,612","6,398","4,854"
"Olmsted County, MN","16,214","13,536","10,332","7,424"
"Otter Tail County, MN","10,467","9,431","7,075","4,336"
"Pennington County, MN","10,426","10,399","8,101","5,243"
"Pine County, MN","9,538","8,534","6,870","4,367"
"Pipestone County, MN","10,050","9,265","7,110","4,783"
"Polk County, MN","10,199","10,029","7,446","5,607"
"Pope County, MN","9,465","8,859","9,341","4,901"
"Ramsey County, MN","15,645","13,905","10,949","8,409"
"Red Lake County, MN","8,963","7,832","6,169","4,458"
"Redwood County, MN","10,489","9,950","7,289","4,422"
"Renville County, MN","10,795","10,098","6,889","4,407"
"Rice County, MN","11,936","10,450","8,107","5,294"
"Rock County, MN","11,383","10,279","8,079","5,541"
"Roseau County, MN","10,280","8,869","6,927","3,983"
"St. Louis County, MN","11,833","11,835","8,642","6,738"
"Scott County, MN","15,341","12,973","9,051","5,254"
"Sherburne County, MN","13,147","10,620","8,123","5,164"
"Sibley County, MN","10,899","10,021","7,471","4,999"
"Stearns County, MN","11,620","9,635","6,851","4,803"
"Steele County, MN","12,993","11,207","8,925","6,051"
"Stevens County, MN","9,814","9,416","7,550","4,583"
"Swift County, MN","9,222","8,801","6,682","4,626"
"Todd County, MN","8,535","7,886","5,977","3,924"
"Traverse County, MN","9,882","9,712","7,380","4,144"
"Wabasha County, MN","11,862","10,331","7,862","5,278"
"Wadena County, MN","8,640","8,077","6,625","4,097"
"Waseca County, MN","11,514","10,949","8,642","5,576"
"Washington County, MN","17,435","13,700","9,788","7,165"
"Watonwan County, MN","10,658","10,538","7,494","5,113"
"Wilkin County, MN","10,108","10,369","6,710","4,670"
"Winona County, MN","11,323","10,320","8,038","5,937"
"Wright County, MN","12,687","10,935","7,645","5,203"
"Yellow Medicine County, MN","10,513","9,375","7,150","4,144"
,,,,
Mississippi,"$9,648.00","$8,685.00","$6,058.00","$3,795.00"
"Adams County, MS","9,469","8,841","6,829","4,764"
"Alcorn County, MS","9,301","9,682","6,713","3,665"
"Amite County, MS","8,268","7,251","4,359","2,743"
"Attala County, MS","7,685","7,061","5,098","3,088"
"Benton County, MS","6,982","6,959","4,608","2,296"
"Bolivar County, MS","6,889","6,709","4,749","2,606"
"Calhoun County, MS","8,806","7,294","5,168","2,880"
"Carroll County, MS","8,241","6,770","4,655","2,044"
"Chickasaw County, MS","8,725","7,619","5,646","3,131"
"Choctaw County, MS","8,076","6,899","4,563","2,468"
"Claiborne County, MS","5,932","7,071","4,261","2,425"
"Clarke County, MS","8,987","8,204","5,552","2,904"
"Clay County, MS","9,224","8,157","5,816","3,539"
"Coahoma County, MS","7,197","6,919","4,916","3,316"
"Copiah County, MS","7,815","7,564","5,023","3,092"
"Covington County, MS","7,847","7,474","5,127","2,664"
"DeSoto County, MS","12,509","9,868","6,162","2,790"
"Forrest County, MS","9,765","8,990","6,940","4,964"
"Franklin County, MS","7,426","7,329","5,007","3,210"
"George County, MS","8,000","8,194","6,087","3,594"
"Greene County, MS","6,882","6,460","4,371","2,562"
"Grenada County, MS","9,125","8,437","6,074","3,598"
"Hancock County, MS","10,180","9,560","6,597","3,904"
"Harrison County, MS","10,434","9,731","7,261","5,380"
"Hinds County, MS","12,222","11,274","8,305","6,102"
"Holmes County, MS","5,969","5,655","3,638","2,335"
"Humphreys County, MS","7,201","6,619","3,846","2,362"
"Issaquena County, MS","6,412","7,604","5,124","1,982"
"Itawamba County, MS","9,476","8,134","5,816","3,292"
"Jackson County, MS","11,246","10,258","7,934","5,545"
"Jasper County, MS","7,524","6,859","4,570","2,802"
"Jefferson County, MS","5,349","5,466","3,087","1,938"
"Jefferson Davis County, MS","7,303","7,375","4,872","2,347"
"Jones County, MS","9,663","9,189","6,505","4,646"
"Kemper County, MS","8,033","6,285","3,582","1,986"
"Lafayette County, MS","9,196","8,662","6,002","3,787"
"Lamar County, MS","10,619","9,285","5,829","3,673"
"Lauderdale County, MS","10,649","9,726","7,097","4,799"
"Lawrence County, MS","8,294","8,824","5,394","3,045"
"Leake County, MS","7,279","6,723","4,831","2,374"
"Lee County, MS","11,702","9,669","7,494","4,626"
"Leflore County, MS","9,003","7,336","5,596","3,351"
"Lincoln County, MS","9,134","8,521","5,822","4,187"
"Lowndes County, MS","11,108","8,879","6,590","4,469"
"Madison County, MS","12,020","8,370","4,875","2,570"
"Marion County, MS","8,490","7,970","5,073","3,795"
"Marshall County, MS","7,599","6,719","4,318","2,245"
"Monroe County, MS","8,979","7,963","5,841","3,700"
"Montgomery County, MS","7,660","6,872","4,944","2,770"
"Neshoba County, MS","8,249","7,819","5,678","3,202"
"Newton County, MS","8,923","7,933","5,718","3,182"
"Noxubee County, MS","6,654","6,126","4,113","2,213"
"Oktibbeha County, MS","9,166","8,003","6,068","3,732"
"Panola County, MS","7,537","7,031","4,822","2,566"
"Pearl River County, MS","9,418","8,608","6,323","4,218"
"Perry County, MS","7,418","7,373","4,733","2,912"
"Pike County, MS","8,119","7,944","5,467","4,108"
"Pontotoc County, MS","9,143","8,350","5,136","2,825"
"Prentiss County, MS","8,947","8,109","5,895","3,084"
"Quitman County, MS","6,450","6,431","3,858","2,178"
"Rankin County, MS","12,749","10,803","6,304","3,606"
"Scott County, MS","8,187","7,732","4,957","2,876"
"Sharkey County, MS","6,032","6,756","4,349","2,531"
"Simpson County, MS","8,284","7,820","5,328","3,112"
"Smith County, MS","8,799","7,670","5,514","2,806"
"Stone County, MS","8,816","8,099","5,939","3,598"
"Sunflower County, MS","7,067","6,632","4,331","2,527"
"Tallahatchie County, MS","6,180","6,187","4,117","2,272"
"Tate County, MS","9,212","7,964","5,067","2,394"
"Tippah County, MS","8,747","7,251","5,407","3,116"
"Tishomingo County, MS","8,735","9,044","5,690","3,175"
"Tunica County, MS","6,449","5,448","3,638","2,237"
"Union County, MS","9,735","8,308","6,213","3,155"
"Walthall County, MS","7,263","7,705","4,793","2,821"
