State and County,1989,1979,1969,1959
"Craighead County, AR","11,301","9,784","7,512","4,713"
"Crawford County, AR","9,689","8,657","5,983","4,195"
"Crittenden County, AR","9,334","8,281","5,819","3,359"
"Cross County, AR","8,897","8,646","6,156","3,673"
"Dallas County, AR","9,101","9,295","6,143","3,485"
"Desha County, AR","8,428","8,484","5,778","3,504"
"Drew County, AR","9,114","8,853","5,923","3,594"
"Faulkner County, AR","10,141","9,340","6,518","3,955"
"Franklin County, AR","8,877","7,849","5,668","3,693"
"Fulton County, AR","8,240","7,158","4,611","2,821"
"Garland County, AR","11,873","10,652","7,119","5,309"
"Grant County, AR","10,344","9,508","6,936","3,881"
"Greene County, AR","9,757","8,618","6,556","3,755"
"Hempstead County, AR","8,583","8,538","6,140","3,728"
"Hot Spring County, AR","9,164","9,154","6,845","5,086"
"Howard County, AR","9,563","8,848","6,420","4,120"
"Independence County, AR","10,493","8,533","6,316","3,606"
"Izard County, AR","8,852","8,016","5,290","3,010"
"Jackson County, AR","8,984","8,708","6,197","4,065"
"Jefferson County, AR","9,852","9,176","6,726","4,658"
"Johnson County, AR","8,924","8,600","5,904","3,512"
"Lafayette County, AR","7,573","7,309","5,108","3,359"
"Lawrence County, AR","8,231","7,737","5,939","3,457"
"Lee County, AR","6,582","5,776","4,513","2,527"
"Lincoln County, AR","7,899","6,966","4,721","2,390"
"Little River County, AR","9,942","9,590","6,219","3,555"
"Logan County, AR","8,283","7,715","5,668","3,508"
"Lonoke County, AR","10,273","9,106","6,109","3,390"
"Madison County, AR","8,548","7,341","4,938","2,829"
"Marion County, AR","9,339","8,278","5,372","3,237"
"Miller County, AR","9,663","9,096","6,943","4,426"
"Mississippi County, AR","8,691","8,028","5,970","3,716"
"Monroe County, AR","7,587","7,192","4,888","2,990"
"Montgomery County, AR","8,343","7,621","5,674","3,543"
"Nevada County, AR","9,666","8,338","5,438","3,469"
"Newton County, AR","7,114","5,955","4,117","2,154"
"Ouachita County, AR","9,974","8,940","6,398","4,709"
"Perry County, AR","8,848","8,011","5,328","2,951"
"Phillips County, AR","6,692","6,999","5,187","3,304"
"Pike County, AR","9,220","8,657","6,068","3,865"
"Poinsett County, AR","8,792","8,610","5,848","3,500"
"Polk County, AR","8,884","8,777","5,898","3,952"
"Pope County, AR","10,347","9,340","6,518","4,026"
"Prairie County, AR","8,642","8,211","5,413","4,116"
"Pulaski County, AR","13,760","11,953","8,818","6,518"
"Randolph County, AR","8,219","8,112","5,781","3,430"
"St. Francis County, AR","7,194","7,339","5,350","2,982"
"Saline County, AR","11,677","10,751","7,409","4,591"
"Scott County, AR","8,360","7,329","5,454","2,986"
"Searcy County, AR","7,209","6,309","4,837","2,853"
"Sebastian County, AR","12,361","11,452","8,296","5,859"
"Sevier County, AR","9,060","8,710","6,552","3,924"
"Sharp County, AR","8,578","8,030","5,133","2,837"
"Stone County, AR","7,679","6,766","4,246","2,539"
"Union County, AR","10,617","9,850","7,541","5,737"
"Van Buren County, AR","8,706","7,993","5,316","2,939"
"Washington County, AR","11,625","9,806","7,449","5,231"
"White County, AR","9,902","8,144","6,235","4,167"
"Woodruff County, AR","7,583","7,661","5,105","3,237"
"Yell County, AR","9,400","8,045","6,279","3,736"
,,,,
California,"$16,409.00","$13,898.00","$11,374.00","$9,057.00"
"Alameda County, CA","17,547","14,305","11,651","9,159"
"Alpine County, CA","13,799","12,851","10,295","5,721"
"Amador County, CA","14,282","11,710","9,486","6,879"
"Butte County, CA","12,083","11,240","8,699","7,185"
"Calaveras County, CA","13,497","11,984","9,684","7,562"
"Colusa County, CA","12,402","12,199","10,115","7,860"
"Contra Costa County, CA","20,748","16,457","12,479","9,041"
"Del Norte County, CA","10,625","10,535","8,891","7,738"
"El Dorado County, CA","15,703","13,352","10,266","9,002"
"Fresno County, CA","11,824","11,674","8,683","7,071"
"Glenn County, CA","10,677","10,949","8,756","6,745"
"Humboldt County, CA","12,436","11,545","9,476","8,048"
"Imperial County, CA","9,208","9,677","7,739","6,369"
"Inyo County, CA","13,397","11,708","10,814","7,436"
"Kern County, CA","12,154","11,713","8,875","7,334"
"Kings County, CA","10,035","9,791","7,396","6,086"
"Lake County, CA","11,705","10,543","8,724","7,389"
"Lassen County, CA","12,626","10,734","9,130","7,420"
"Los Angeles County, CA","16,149","13,913","12,161","9,896"
"Madera County, CA","10,856","10,659","7,736","6,102"
"Marin County, CA","28,381","20,664","15,088","11,062"
"Mariposa County, CA","13,074","11,187","8,872","7,507"
"Mendocino County, CA","12,776","11,410","9,139","6,969"
"Merced County, CA","10,606","10,501","7,862","6,200"
"Modoc County, CA","10,971","10,997","9,023","7,777"
"Mono County, CA","16,120","14,394","10,439","10,053"
"Monterey County, CA","14,578","12,559","9,873","7,805"
"Napa County, CA","17,640","14,035","10,298","7,628"
"Nevada County, CA","15,760","12,541","9,542","7,581"
"Orange County, CA","19,890","16,031","12,186","8,896"
"Placer County, CA","17,311","13,685","9,892","7,287"
"Plumas County, CA","12,952","11,490","10,512","7,621"
"Riverside County, CA","14,510","12,529","9,703","7,593"
"Sacramento County, CA","15,265","13,322","10,672","8,849"
"San Benito County, CA","13,933","10,403","8,756","6,965"
"San Bernardino County, CA","13,358","11,881","9,448","7,303"
"San Diego County, CA","16,220","13,338","10,641","8,594"
"San Francisco County, CA","19,695","15,525","13,319","10,634"
"San Joaquin County, CA","12,705","11,757","9,624","7,279"
"San Luis Obispo County, CA","15,237","11,810","9,017","7,330"
"San Mateo County, CA","22,430","17,873","14,332","11,195"
"Santa Barbara County, CA","17,155","14,076","10,565","9,382"
"Santa Clara County, CA","20,423","15,949","12,095","9,143"
"Santa Cruz County, CA","17,347","13,736","10,011","7,903"
"Shasta County, CA","12,381","11,380","9,281","7,648"
"Sierra County, CA","13,731","11,931","10,332","7,334"
"Siskiyou County, CA","11,610","10,951","9,221","7,440"
