Year,County,Income,Distance ,Ddummy
1989,"Placer County, CA","17,311",179,1
1989,"Plumas County, CA","12,952",273,0
1989,"Riverside County, CA","14,510",405,0
1989,"Sacramento County, CA","15,265",113,1
1989,"San Benito County, CA","13,933",95,1
1989,"San Bernardino County, CA","13,358",356,0
1989,"San Diego County, CA","16,220",469,0
1989,"San Francisco County, CA","19,695",39,1
1989,"San Joaquin County, CA","12,705",78,1
1989,"San Luis Obispo County, CA","15,237",201,1
1989,"San Mateo County, CA","22,430",39,1
1989,"Santa Barbara County, CA","17,155",289,0
1989,"Santa Clara County, CA","20,423",11,1
1989,"Santa Cruz County, CA","17,347",33,1
1989,"Shasta County, CA","12,381",283,0
1989,"Sierra County, CA","13,731",238,0
1989,"Siskiyou County, CA","11,610",348,0
1989,"Solano County, CA","14,833",89,1
1989,"Sonoma County, CA","17,239",130,1
1989,"Stanislaus County, CA","12,731",88,1
1989,"Sutter County, CA","12,763",139,1
1989,"Tehama County, CA","10,990",213,0
1989,"Trinity County, CA","10,781",298,0
1989,"Tulare County, CA","10,302",238,0
1989,"Tuolumne County, CA","13,224",158,1
1989,"Ventura County, CA","17,861",158,1
1989,"Yolo County, CA","13,861",117,1
1989,"Yuba County, CA","9,874",169,1
